Month,Product,Size,Forecasted_Sales,Lower_Bound,Upper_Bound
2025-11-01,ALF Boys Ink Trousers,84,2.0450102872104012,0.0,4.887123469737093
2025-06-01,ALF Boys Ink Trousers,88,3.2609264671484843,0.0,7.065775156384291
2025-07-01,ALF Boys Ink Trousers,88,4.183484178566115,0.28275607203225855,7.980839847073755
2025-08-01,ALF Boys Ink Trousers,88,5.1626537426553805,1.4567496868605647,8.90486119916392
2025-09-01,ALF Boys Ink Trousers,88,3.0358798235190374,0.0,7.023731438168466
2025-10-01,ALF Boys Ink Trousers,88,1.5900657418421948,0.0,5.428935667632971
2025-11-01,ALF Boys Ink Trousers,88,3.4139619209123664,0.0,7.285274024694639
2025-06-01,ALF Boys Ink Trousers,92,6.1631535187136475,2.6672328617918954,9.730153598272109
2025-07-01,ALF Boys Ink Trousers,92,3.443225234975344,0.22353665721167976,6.618507620551604
2025-08-01,ALF Boys Ink Trousers,92,2.963974877378785,0.0,6.4069358797225995
2025-09-01,ALF Boys Ink Trousers,92,1.4432006094323953,0.0,4.822624361655697
2025-10-01,ALF Boys Ink Trousers,92,1.3124685873492212,0.0,4.483583933565933
2025-11-01,ALF Boys Ink Trousers,92,2.2470241358553995,0.0,5.580447581729701
2025-06-01,ALF Boys Ink Trousers,96,4.003502878682768,2.327376796743234,5.6693716024398455
2025-07-01,ALF Boys Ink Trousers,96,2.30458747257377,0.48754313280042344,3.9024884089271135
2025-08-01,ALF Boys Ink Trousers,96,2.366432922756014,0.8332193933209736,4.14301314282663
2025-09-01,ALF Boys Ink Trousers,96,1.8563450660606475,0.18415701895917025,3.5285469982027076
2025-10-01,ALF Boys Ink Trousers,96,1.0506995551695013,0.0,2.8093003572085946
2025-11-01,ALF Boys Ink Trousers,96,1.3838115828675899,0.0,3.0142294626149866
2025-06-01,ALF Jacket,2XL,0.0,0.0,0.5960928231504777
2025-07-01,ALF Jacket,2XL,0.0,0.0,0.7811803538224742
2025-08-01,ALF Jacket,2XL,1.7802202819729118,0.8720397781449666,2.673194476809319
2025-09-01,ALF Jacket,2XL,0.0,0.0,0.631211210477268
2025-10-01,ALF Jacket,2XL,0.0,0.0,0.12192560116150616
2025-11-01,ALF Jacket,2XL,0.0,0.0,0.24265248581124751
2025-06-01,ALF Jacket,2XS,0.0,0.0,0.1336035562535848
2025-07-01,ALF Jacket,2XS,0.0,0.0,0.13644840031560304
2025-08-01,ALF Jacket,2XS,0.0,0.0,0.15121789343289355
2025-09-01,ALF Jacket,2XS,0.0,0.0,0.14093520670780282
2025-10-01,ALF Jacket,2XS,0.0,0.0,0.14674593603683575
2025-11-01,ALF Jacket,2XS,0.0,0.0,0.1513528678497603
2025-06-01,ALF Jacket,3XL,0.36737419456656006,0.0,1.5972224214701483
2025-07-01,ALF Jacket,3XL,0.0,0.0,0.8021067920546792
2025-08-01,ALF Jacket,3XL,0.0,0.0,1.0976297433046363
