Product,Size,Lead Time Sales,Safety Stock,Stock On Hand,Order Quantity
Mags Uniform Shorts (MG020),60,0.3848677470607963,0.45156256339515843,17,0
Mags Uniform Shorts (MG020),64,2.2810060192951997,3.2664875018359254,39,0
Mags Uniform Shorts (MG020),68,4.696200100801998,9.20377826170722,107,0
Mags Uniform Shorts (MG020),72,9.141324216514661,14.946862558473796,132,0
Mags Uniform Shorts (MG020),76,13.79506555386908,16.053911332836968,249,0
Mags Uniform Shorts (MG020),80,10.3061235882996,12.213549843985382,182,0
Mags Uniform Shorts (MG020),84,6.464363176308197,8.434826939143589,117,0
Mags Uniform Shorts (MG020),88,5.072324568500957,7.4710587328875,91,0
Mags Uniform Shorts (MG020),92,2.335170305439844,3.2918115134050283,46,0
Mags Uniform Shorts (MG020),96,1.7175339164825583,2.6815283623621005,35,0
Mags Uniform Tartan Skirt Tartan (MG018),10,10.405388514169813,10.209140722431313,75,0
Mags Uniform Tartan Skirt Tartan (MG018),12,10.079306250137774,8.297451650804701,44,0
Mags Uniform Tartan Skirt Tartan (MG018),14,7.667944027975765,5.030354462403707,32,0
Mags Uniform Tartan Skirt Tartan (MG018),16,3.687706630598343,3.2603139908315697,20,0
Mags Uniform Tartan Skirt Tartan (MG018),18,2.1767461062654907,1.2533685714452758,16,0
Mags Uniform Tartan Skirt Tartan (MG018),20,0.7520492436165119,0.7730594324576804,8,0
Mags Uniform Tartan Skirt Tartan (MG018),22,0.4727144956323113,0.5997451060186367,6,0
Mags Uniform Tartan Skirt Tartan (MG018),24,0.17521101555109395,0.4273632131737481,12,0
Mags Uniform Tartan Skirt Tartan (MG018),26,0.10480123818364379,0.20696457376130864,5,0
Mags Uniform Tartan Skirt Tartan (MG018),28,0.0,0.2994948443318957,6,0
Mags Uniform Tartan Skirt Tartan (MG018),30,0.017499046362226357,0.09191198834023376,7,0
Mags Uniform Tartan Skirt Tartan (MG018),32,0.035171086485340314,0.10508255952378756,6,0
Mags Uniform Tartan Skirt Tartan (MG018),6,2.778576080304707,3.2712241895239056,30,0
Mags Uniform Tartan Skirt Tartan (MG018),8,10.583591130263793,10.367045016835199,51,0
Mags Uniform Tie Navy (MG004),Each,21.371148203593606,13.579580458607213,162,0
Mags Uniform Trousers Black (MG022),100,6.299838938628904,3.245933870569027,98,0
Mags Uniform Trousers Black (MG022),104,4.095417896694942,2.475946171442622,61,0
Mags Uniform Trousers Black (MG022),108,1.8153433096242346,1.5632535967373116,41,0
Mags Uniform Trousers Black (MG022),112,1.064722590303777,0.9825495836178864,26,0
Mags Uniform Trousers Black (MG022),116,1.1944272764719217,0.5856203411896824,19,0
Mags Uniform Trousers Black (MG022),120,0.838082775801675,0.9296270110285171,22,0
Mags Uniform Trousers Black (MG022),124,1.188381826525898,0.7536221204507534,18,0
Mags Uniform Trousers Black (MG022),128,0.0835667959223894,0.19456012218699065,4,0
Mags Uniform Trousers Black (MG022),60,0.2978913637323675,0.40140609198819904,3,0
Mags Uniform Trousers Black (MG022),64,0.7715790395715378,0.9293242325239622,15,0
Mags Uniform Trousers Black (MG022),68,4.601823361099236,1.9648604516008326,67,0
Mags Uniform Trousers Black (MG022),72,8.669853923515051,5.816995981858101,162,0
Mags Uniform Trousers Black (MG022),76,17.164489391529628,10.408813425168614,365,0
Mags Uniform Trousers Black (MG022),80,22.957337090936072,14.893541356381684,407,0
Mags Uniform Trousers Black (MG022),84,25.950922969307367,14.743835826892973,429,0
Mags Uniform Trousers Black (MG022),88,24.61357505337217,11.714582858003425,334,0
Mags Uniform Trousers Black (MG022),92,12.5147455905139,7.620539694865766,193,0
Mags Uniform Trousers Black (MG022),96,9.224437268459429,5.890885902578143,163,0
Mags Uniform Y13 Skirt Navy (MG019),10,9.792589319030556,6.43009708347836,39,0
Mags Uniform Y13 Skirt Navy (MG019),12,9.14611507183534,7.069015138755285,30,0
