Product,Size,MAE,RMSE,Baseline_MAE,Holdout_Mean_Sales
Mags Uniform Jumper Navy/Sky (MG009),M/97,29.625271884484203,47.06867654458134,11.5,34.0
Mags Uniform Jumper Navy/Sky (MG009),S/92,16.998969096183398,23.045666084266127,10.666666666666666,15.833333333333334
Mags Uniform Jumper Navy/Sky (MG009),XL/107,17.182210485733762,24.088113289293254,4.666666666666667,19.833333333333332
Mags Uniform Jumper Navy/Sky (MG009),XS/87,4.118753419830862,4.569247119739541,3.0,3.8333333333333335
Mags Uniform Jumper Navy/Sky (MG009),XXS/82,0.2485104035318191,0.300658859539086,0.16666666666666666,0.0
Mags Uniform LS Shirt White (MG017),16,0.6159415277380553,0.7644412044638008,1.1666666666666667,0.16666666666666666
Mags Uniform LS Shirt White (MG017),37,0.20306220210434775,0.252021819640094,0.16666666666666666,0.0
Mags Uniform LS Shirt White (MG017),38,1.3098675384958627,1.5482935933446844,1.3333333333333333,0.5
Mags Uniform LS Shirt White (MG017),40,2.300810213259476,3.0480316742521394,1.0,2.0
Mags Uniform LS Shirt White (MG017),42,1.6970809913746712,1.9445987197567125,1.3333333333333333,1.8333333333333333
Mags Uniform LS Shirt White (MG017),44,0.9613075660676936,1.1365335037299888,0.5,0.6666666666666666
Mags Uniform LS Shirt White (MG017),46,0.29909491513358516,0.4270518398341241,0.3333333333333333,0.16666666666666666
Mags Uniform LS Shirt White (MG017),48,0.1969875091699317,0.2083828244738,0.0,0.0
Mags Uniform Polo Jnr Grey/Navy (MG012),2XL,7.89842330796897,10.878388912322148,2.6666666666666665,5.666666666666667
Mags Uniform Polo Jnr Grey/Navy (MG012),3XL,4.697524039392774,6.34191800622727,1.8333333333333333,2.6666666666666665
Mags Uniform Polo Jnr Grey/Navy (MG012),4XL,3.2071067844486874,4.424018413320641,2.6666666666666665,1.1666666666666667
Mags Uniform Polo Jnr Grey/Navy (MG012),5XL,1.9277704731629661,2.509897948160946,1.3333333333333333,0.8333333333333334
Mags Uniform Polo Jnr Grey/Navy (MG012),7XL,1.4568657246392778,1.8615881703082204,1.1666666666666667,0.6666666666666666
Mags Uniform Polo Jnr Grey/Navy (MG012),L,38.156821013892284,54.72995234781679,7.0,27.0
Mags Uniform Polo Jnr Grey/Navy (MG012),LB,12.225456716924997,18.06661270816081,3.3333333333333335,9.333333333333334
Mags Uniform Polo Jnr Grey/Navy (MG012),M,74.14748060951966,98.30930441979844,8.833333333333334,44.5
Mags Uniform Polo Jnr Grey/Navy (MG012),MB,3.4888392662414573,4.640692316779854,2.5,2.6666666666666665
Mags Uniform Polo Jnr Grey/Navy (MG012),S,42.64971942238478,67.58062809198572,13.5,36.5
Mags Uniform Polo Jnr Grey/Navy (MG012),SB,0.4498860240358797,0.568546216099963,0.3333333333333333,0.0
Mags Uniform Polo Jnr Grey/Navy (MG012),XL,22.086740119094703,26.77827109026661,8.666666666666666,10.0
