Category,Product,Code,Size,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25
Mt Albert Grammar,Mags Uniform LS Shirt White (MG017),MG017 -40,40,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,3,,,1,,,4,,6,2,,2,2
Mt Albert Grammar,Mags Uniform LS Shirt White (MG017),MG017 -42,42,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,1,2,,,1,,,4,,2,2,,2,5
Mt Albert Grammar,Mags Uniform LS Shirt White (MG017),MG017 -44,44,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,1,,,,,,,,1,2,,1,
Mt Albert Grammar,Mags Uniform LS Shirt White (MG017),MG017 -46,46,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1
Mt Albert Grammar,Mags Uniform LS Shirt White (MG017),MG017 -48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -2XL,2XL,,,,,,,,,,,,,,,,,,,,,,,,8,22,7,,,3,3,4,,2,,4,1,21,10,2,,
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -3XL,3XL,,,,,,,,,,,,,,,,,,,,,,,,3,15,1,,,2,,,,,3,,,11,,2,,3
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -4XL,4XL,,,,,,,,,,,,,,,,,,,,,,,,,13,2,,,,,,,,1,,,3,,,1,3
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -5XL,5XL,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,2,2,,,,,,4,1,,,
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -7XL,7XL,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,1,,,,,,,,2,2,,,
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -L,L,,,,,,,,,,,,,,,,,,,,,,,,11,121,22,8,12,8,12,16,1,4,7,26,3,104,16,17,14,8
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -LB,LB,,,,,,,,,,,,,,,,,,,,,,,,14,48,2,,,-2,,1,,,1,26,9,40,3,,,4
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -M,M,,,,,,,,,,,,,,,,,,,,,,,,38,204,38,10,9,15,4,23,14,5,18,48,22,207,29,5,,4
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -MB,MB,,,,,,,,,,,,,,,,,,,,,,,,10,8,-2,,,1,1,2,,,,6,2,10,1,,,3
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -S,S,,,,,,,,,,,,,,,,,,,,,,,,55,123,18,8,3,3,1,11,8,2,5,48,35,156,5,5,10,8
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -SB,SB,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,3,,,,,,
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -XL,XL,,,,,,,,,,,,,,,,,,,,,,,,14,74,8,3,8,5,2,7,2,,5,12,5,43,5,3,2,2
Mt Albert Grammar,Mags Uniform Polo Jnr Grey/Navy (MG012),POLO MG012 MAGS -XS,XS,,,,,,,,,,,,,,,,,,,,,,,,34,79,7,5,,,1,5,,5,1,54,28,70,3,,6,2
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -100,100,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,1,,,,,,9,,2,2,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -104,104,,,,,,,,,,,,,,,,,,,,,,,,4,7,,-1,,,,,1,,,,1,6,,,,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -108,108,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,2,1,,,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -112,112,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,2,,,4,,,,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -116,116,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,0,,,,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -120,120,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4,1,,,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -124,124,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -128,128,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,-2,,,1
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -60,60,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,2,2,1,,,,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -64,64,,,,,,,,,,,,,,,,,,,,,,,,6,17,1,1,,,,,-1,,,6,2,13,,,,2
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -68,68,,,,,,,,,,,,,,,,,,,,,,,,17,47,-1,2,,,,,,,,17,14,26,-5,,,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -72,72,,,,,,,,,,,,,,,,,,,,,,,,32,78,2,1,,,1,,-2,,3,14,7,53,5,1,,1
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -76,76,,,,,,,,,,,,,,,,,,,,,,,,42,76,8,2,-3,-1,2,4,2,,2,31,17,67,4,2,,1
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -80,80,,,,,,,,,,,,,,,,,,,,,,,,18,64,10,4,,,,3,,4,2,13,11,58,7,1,,1
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -84,84,,,,,,,,,,,,,,,,,,,,,,,,4,45,8,2,,-2,,,1,1,3,15,6,34,3,1,,0
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -88,88,,,,,,,,,,,,,,,,,,,,,,,,9,40,5,,,,,2,,,4,18,3,26,1,,-1,
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -92,92,,,,,,,,,,,,,,,,,,,,,,,,2,20,6,,1,,,,,1,,7,2,7,6,,,1
Mt Albert Grammar,Mags Uniform Shorts (MG020),US SH 312 MAGS -96,96,,,,,,,,,,,,,,,,,,,,,,,,2,15,,1,1,,,,2,,2,2,2,10,0,,,1
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -10,10,,,,,,,,,,,,,,,,,,,,,,,1,17,58,10,3,3,4,3,4,4,2,14,24,6,34,9,1,2,1
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -12,12,,,,,,,,,,,,,,,,,,,,,,,,22,36,7,1,5,,2,2,3,5,2,6,3,48,12,5,2,1
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -14,14,,,,,,,,,,,,,,,,,,,,,,,,2,27,3,4,,1,4,3,3,1,3,4,6,22,7,2,3,2
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -16,16,,,,,,,,,,,,,,,,,,,,,,,,,15,3,2,3,1,1,1,1,,1,4,3,17,0,4,1,
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -18,18,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,1,1,2,1,1,,2,2,1,4,,,1,1
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -20,20,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,1,,2,,1,4,,,,1
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -22,22,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,,,,,,,,,4,,,,
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -24,24,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,1,,,,,,,,1,1,,,
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -28,28,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -6,6,,,,,,,,,,,,,,,,,,,,,,,,10,18,1,3,3,,,1,,1,3,3,5,11,1,3,3,1
Mt Albert Grammar,Mags Uniform Tartan Skirt Tartan (MG018),US SK 514 MAGS -8,8,,,,,,,,,,,,,,,,,,,,,,,-1,19,54,3,4,1,2,2,4,1,2,5,26,4,44,8,3,1,2
Mt Albert Grammar,Mags Uniform Tie Navy (MG004),MG004 -Each,Each,,,,,,,,,,,,,,,,,,,,,,,,3,11,28,13,18,54,18,5,3,,,16,5,6,17,2,11,22
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -100,100,,,,,,,,,,,,,,,,,,,,,,,,1,15,11,6,4,7,2,4,,4,,3,3,19,5,9,6,4
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -104,104,,,,,,,,,,,,,,,,,,,,,,,,,12,2,3,2,7,2,2,1,,3,,,12,6,4,1,3
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -108,108,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,2,3,2,,3,,1,3,,,9,1,,1,2
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -112,112,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,,1,,2,1,,2,,,5,,,1,1
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -116,116,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,1,,,1,,,,2,,3,,1
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -120,120,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,1,,4,2,,,,,1,,1,,3
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -124,124,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,1,1,1,,,,,1,2,,1,1
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -60,60,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,2,,
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -64,64,,,,,,,,,,,,,,,,,,,,,,,,2,3,-2,1,2,2,,,,1,,2,-1,4,2,,,1
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -68,68,,,,,,,,,,,,,,,,,,,,,,,,2,11,5,4,3,5,3,5,1,,3,5,4,3,1,1,6,10
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -72,72,,,,,,,,,,,,,,,,,,,,,,,,10,30,4,14,21,7,2,8,1,3,-2,15,6,25,6,4,16,7
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -76,76,,,,,,,,,,,,,,,,,,,,,,,,13,44,13,15,27,36,5,16,13,2,6,14,11,56,18,11,15,12
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -80,80,,,,,,,,,,,,,,,,,,,,,,,,13,65,23,16,39,32,6,18,11,4,7,15,6,84,17,17,21,24
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -84,84,,,,,,,,,,,,,,,,,,,,,,,,5,80,18,27,23,25,9,25,11,7,9,23,7,73,22,18,20,23
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -88,88,,,,,,,,,,,,,,,,,,,,,,,,9,48,22,16,15,25,14,12,13,5,5,10,2,68,18,13,14,29
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -92,92,,,,,,,,,,,,,,,,,,,,,,,,5,42,13,11,12,16,7,7,3,2,10,9,0,29,11,6,11,13
Mt Albert Grammar,Mags Uniform Trousers Black (MG022),US PT 358 MAGS -96,96,,,,,,,,,,,,,,,,,,,,,,,,1,24,5,17,10,11,2,7,3,,5,12,,28,11,7,10,8
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -10,10,,,,,,,,,,,,,,,,,,,,,,,,3,30,7,0,2,5,3,5,1,2,3,18,1,34,12,1,1,6
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -12,12,,,,,,,,,,,,,,,,,,,,,,,,4,32,6,3,,2,1,1,1,2,6,15,5,38,9,4,3,6
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -14,14,,,,,,,,,,,,,,,,,,,,,,,,1,22,6,5,2,4,,4,,2,4,6,1,21,6,4,-1,4
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -16,16,,,,,,,,,,,,,,,,,,,,,,,,2,13,3,2,,4,2,,2,,1,8,1,18,4,1,,0
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -18,18,,,,,,,,,,,,,,,,,,,,,,,,,13,2,,,1,,1,2,,,2,1,14,5,,2,3
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -20,20,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,1,1,1,,,,1,,6,3,,,
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -22,22,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,1,,,,,,,,,3,1,1,,
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -24,24,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,2,,,,
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,1,
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -30,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,1,,,
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -34,34,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -6,6,,,,,,,,,,,,,,,,,,,,,,,,2,7,4,1,,1,1,1,,1,,2,,5,4,3,1,0
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -8,8,,,,,,,,,,,,,,,,,,,,,,,,2,21,8,7,4,5,1,,,,1,6,,20,1,1,3,4
Mt Albert Grammar,Mags Uniform Y13 Skirt Navy (MG019),US SK 556 MAGS -SPCL,SPCL,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -10,10,,,,,,,,,,,,,,,,,,,,,,,,6,82,18,,,,,0,2,1,13,24,4,30,4,,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -12,12,,,,,,,,,,,,,,,,,,,,,,,,14,81,3,5,,1,1,,,,14,39,2,25,5,,2,1
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -14,14,,,,,,,,,,,,,,,,,,,,,,,,2,42,4,,,1,,1,,,6,19,0,18,6,1,1,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -16,16,,,,,,,,,,,,,,,,,,,,,,,,4,27,2,2,,,,,,,3,10,2,16,2,,1,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -18,18,,,,,,,,,,,,,,,,,,,,,,,,,12,6,2,,,,,,,4,3,,13,2,,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -20,20,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -22,22,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,2,,,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -24,24,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,2,,,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -26,26,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -30,30,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,-1,,,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -6,6,,,,,,,,,,,,,,,,,,,,,,,,2,17,1,1,1,,,,,,,2,,8,,1,,
Mt Albert Grammar,Mags Uniform Yr13 Blouse SS Blue/Navy (MG015),US BL 421 MAGS -8,8,,,,,,,,,,,,,,,,,,,,,,,,5,41,0,,,2,,,,,3,17,3,25,2,1,1,2
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -2XL,2XL,,,,,,,,,,,,,,,,,,,,,,,,,34,2,,,,,,,,6,3,,7,,2,,
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -3XL,3XL,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,2,,10,3,,,2
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -4XL,4XL,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -5XL,5XL,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -6XL,6XL,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -L,L,,,,,,,,,,,,,,,,,,,,,,,,5,129,26,3,-1,1,-1,3,,,17,35,7,89,25,4,-1,1
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -M,M,,,,,,,,,,,,,,,,,,,,,,,,6,134,15,6,1,,1,,2,,26,44,7,111,14,0,1,
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -S,S,,,,,,,,,,,,,,,,,,,,,,,,,44,13,2,,2,,,,,3,6,3,63,3,3,3,2
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -XL,XL,,,,,,,,,,,,,,,,,,,,,,,,6,81,7,1,,,,,,,11,14,2,40,8,,,
Mt Albert Grammar,Mags Uniform Yr13 Polo White (MG013),US POLO 903 MAGS -XS,XS,,,,,,,,,,,,,,,,,,,,,,,,,12,3,1,,,,,,,,7,,13,2,2,,
Western Heights High,WHHS Bucket Hats,USL BKHAT 4223 WHHS -L/XL,L/XL,36,17,,,,,,,,,1,1,16,5,1,,1,,,,,1,,,17,9,,1,,,,,,,4,5,9,2,1,1,
Western Heights High,WHHS Bucket Hats,USL BKHAT 4223 WHHS -M/L,M/L,23,8,,,1,,1,,,,,,17,4,,,,,1,1,,1,,,21,3,,,1,1,1,,,,6,3,4,1,1,,
Western Heights High,WHHS Caps,USL CAP 4079 WHHS,0,16,1,,-1,10,0,1,,1,2,3,1,33,13,2,3,,2,,,,2,3,2,17,6,1,,,2,,,,1,4,2,13,2,,,1
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -2XL,2XL,,,5,8,14,7,,2,1,2,,2,10,11,1,1,5,4,1,1,,,,,9,3,2,0,2,2,1,,,,,1,6,2,1,1,3
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -3XL,3XL,,,3,4,7,3,1,1,1,,,,7,7,,,,1,,,,,,,2,,1,,,2,,,,,,,,,1,,3
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -4XL,4XL,,,,4,2,,1,1,,,,,4,2,,,,2,,,,,,,,,1,,,,,,,,,,4,-1,,,
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -5XL,5XL,,,1,,3,,,2,,,,,1,2,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -6XL,6XL,,,,2,2,,,,,,,,2,1,1,,1,,,1,,,,,1,,,,,,,,,,,,2,,,2,
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -7XL,7XL,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -L,L,,2,4,6,42,10,4,3,4,3,2,,20,17,6,3,9,3,9,2,1,1,,,12,7,12,4,6,3,2,5,1,,2,1,15,2,3,8,5
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -M,M,1,,4,14,44,13,4,7,,,1,1,33,30,7,3,10,5,4,2,,2,,1,21,7,11,1,7,3,3,1,,1,7,4,28,3,6,5,11
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -S,S,,,,14,27,8,1,3,2,,1,,38,28,4,2,10,11,7,3,4,3,,1,32,12,4,1,5,2,3,0,1,,3,6,31,7,5,16,11
Western Heights High,WHHS Contrast Jacket,JKT 704 CL WHHS -XL,XL,,,3,12,25,7,2,3,1,,1,,23,18,3,3,10,2,1,4,,2,1,,11,7,3,1,8,3,1,2,1,,2,1,6,1,1,4,2
Western Heights High,WHHS Contrast Jacket,JKT 704K CL WHHS -14,14,,,0,3,5,1,2,,,,,,9,4,,,1,,,,,,,,12,2,3,,1,1,,,,,,1,6,2,3,0,2
Western Heights High,WHHS Contrast Jacket,JKT 704K CL WHHS -16,16,,,3,10,14,4,3,,,,,,17,8,3,1,5,1,2,,,1,,,16,1,2,3,4,4,2,2,1,,4,2,23,2,2,4,
Western Heights High,WHHS Contrast Jacket,JKT 704K CL WHHS-12,12,,,,,0,0,,,,,,,2,0,,,,,,,,,,,0,0,,1,,,,,,,,,1,,,,
Western Heights High,WHHS Height Scarf,USL SCF WHHS -ONE SIZE,ONE SIZE,7,8,1,,18,16,7,11,2,2,,,18,14,10,5,27,13,7,18,3,5,3,1,29,4,10,10,17,5,24,6,4,2,1,1,31,4,4,1,26
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -100,100,12,5,,,,2,,1,,,1,,8,,,,,,,,,,,1,8,,,2,,,,1,,,,1,2,,,,1
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -104,104,3,5,,,2,1,,,1,,,,6,4,,,,,,,,,,,3,2,2,,,3,,,1,,,1,2,1,,,
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -108,108,3,3,,,,,,,,,,,3,1,,,,,,,1,,,,1,-1,,,,,,,,,,,8,-2,,,
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -112,112,3,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,2,1,,,2
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -116,116,3,4,,,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -120,120,2,2,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,2,,,,
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -124,124,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -64,64,1,,,,,,,,,,,,3,3,1,,,1,1,,,,,,0,-2,1,-1,,,,,,,,,,,,,
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -68,68,,,,,,,,,,,,,12,,,,,,1,,,,2,4,13,1,1,,,,,,,,,2,6,,,,1
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -72,72,13,,,,,,1,2,,,,,10,3,,,2,,,1,,2,,3,7,1,1,2,,1,,,,,,1,8,,,3,
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -76,76,16,5,1,,,1,,2,1,,,2,9,4,,,,,,1,,,,,22,1,,1,-1,,,,,2,2,2,10,,1,1,2
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -80,80,19,8,,,3,,1,,1,3,1,,17,5,1,,2,1,1,,,2,,,33,5,,4,1,2,2,,1,1,6,1,24,1,2,,0
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -84,84,17,10,1,,3,,,,,1,,3,8,4,3,2,1,4,,2,,1,,,23,4,,,,,1,2,1,2,4,4,27,4,1,1,
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -88,88,16,6,,,2,,,2,1,,,,5,1,,,,1,1,,1,,,,9,3,,,1,,,2,,1,,3,13,3,,3,1
Western Heights High,WHHS JNR Boys Shorts,SH 711 WHHS -92,92,13,7,,,,1,2,,,,1,1,11,0,,,,,,1,,,,,9,,,,,1,,,,,,2,12,-2,,,
